session,root,symbol,expiry,settle,settle_flag,oi,volume
2025-05-30,6E,6EU6,2026-09-14,1.168250000,3,92,0
2025-05-30,6E,6EZ6,2026-12-14,1.173250000,3,,
2025-05-30,6E,6EH7,2027-03-15,1.178200000,3,,
2025-05-30,6E,6EM7,2027-06-14,1.183100000,3,,
2025-05-30,6E,6EU7,2027-09-13,1.187400000,3,,
2025-05-30,6E,6EZ7,2027-12-13,1.191700000,3,1,0
2025-05-30,6E,6EH8,2028-03-13,1.196000000,3,,
2025-05-30,6E,6EM8,2028-06-16,1.200500000,3,,
2025-05-30,6E,6EU8,2028-09-18,1.204900000,3,,
2025-05-30,6E,6EZ8,2028-12-18,1.209200000,3,,
2025-05-30,6E,6EH9,2029-03-19,1.213500000,3,,
2025-05-30,6E,6EM9,2029-06-15,1.217650000,3,,
2025-05-30,6E,6EU9,2029-09-17,1.222100000,3,,
2025-05-30,6E,6EZ9,2029-12-17,1.226400000,3,,
2025-05-30,6E,6EH0,2030-03-18,1.230700000,3,,
2025-06-02,6E,6EU6,2026-09-14,1.176950000,3,91,2
2025-06-02,6E,6EZ6,2026-12-14,1.182050000,3,,
2025-06-02,6E,6EH7,2027-03-15,1.187200000,3,,
2025-06-02,6E,6EM7,2027-06-14,1.192200000,3,,
2025-06-02,6E,6EU7,2027-09-13,1.196650000,3,,
2025-06-02,6E,6EZ7,2027-12-13,1.201100000,3,1,0
2025-06-02,6E,6EH8,2028-03-13,1.205550000,3,,
2025-06-02,6E,6EM8,2028-06-16,1.210200000,3,,
2025-06-02,6E,6EU8,2028-09-18,1.214750000,3,,
2025-06-02,6E,6EZ8,2028-12-18,1.219200000,3,,
2025-06-02,6E,6EH9,2029-03-19,1.223650000,3,,
2025-06-02,6E,6EM9,2029-06-15,1.227950000,3,,
2025-06-02,6E,6EU9,2029-09-17,1.232550000,3,,
2025-06-02,6E,6EZ9,2029-12-17,1.236950000,3,,
2025-06-02,6E,6EH0,2030-03-18,1.241400000,3,,
2025-06-02,6E,6EM0,2030-06-17,0.000000000,1,,
2025-06-03,6E,6EU6,2026-09-14,1.170500000,3,91,3
2025-06-03,6E,6EZ6,2026-12-14,1.175700000,3,,
2025-06-03,6E,6EH7,2027-03-15,1.180950000,3,,
2025-06-03,6E,6EM7,2027-06-14,1.186100000,3,,
2025-06-03,6E,6EU7,2027-09-13,1.190500000,3,,
2025-06-03,6E,6EZ7,2027-12-13,1.194950000,3,1,0
2025-06-03,6E,6EH8,2028-03-13,1.199350000,3,,
2025-06-03,6E,6EM8,2028-06-16,1.203950000,3,,
2025-06-03,6E,6EU8,2028-09-18,1.208500000,3,,
2025-06-03,6E,6EZ8,2028-12-18,1.212900000,3,,
2025-06-03,6E,6EH9,2029-03-19,1.217300000,3,,
2025-06-03,6E,6EM9,2029-06-15,1.221600000,3,,
2025-06-03,6E,6EU9,2029-09-17,1.226150000,3,,
2025-06-03,6E,6EZ9,2029-12-17,1.230550000,3,,
2025-06-03,6E,6EH0,2030-03-18,1.234950000,3,,
2025-06-04,6E,6EU6,2026-09-14,1.174000000,3,91,0
2025-06-04,6E,6EZ6,2026-12-14,1.178850000,3,,
2025-06-04,6E,6EH7,2027-03-15,1.183750000,3,,
2025-06-04,6E,6EM7,2027-06-14,1.188550000,3,,
2025-06-04,6E,6EU7,2027-09-13,1.192700000,3,,
2025-06-04,6E,6EZ7,2027-12-13,1.196800000,3,1,0
2025-06-04,6E,6EH8,2028-03-13,1.200950000,3,,
2025-06-04,6E,6EM8,2028-06-16,1.205300000,3,,
2025-06-04,6E,6EU8,2028-09-18,1.209550000,3,,
2025-06-04,6E,6EZ8,2028-12-18,1.213700000,3,,
2025-06-04,6E,6EH9,2029-03-19,1.217850000,3,,
2025-06-04,6E,6EM9,2029-06-15,1.221850000,3,,
2025-06-04,6E,6EU9,2029-09-17,1.226150000,3,,
2025-06-04,6E,6EZ9,2029-12-17,1.230250000,3,,
2025-06-04,6E,6EH0,2030-03-18,1.234400000,3,,
2025-06-05,6E,6EU6,2026-09-14,1.175350000,3,93,0
2025-06-05,6E,6EZ6,2026-12-14,1.180100000,3,,
2025-06-05,6E,6EH7,2027-03-15,1.184800000,3,,
2025-06-05,6E,6EM7,2027-06-14,1.189500000,3,,
2025-06-05,6E,6EU7,2027-09-13,1.193650000,3,,
2025-06-05,6E,6EZ7,2027-12-13,1.197800000,3,1,0
2025-06-05,6E,6EH8,2028-03-13,1.201950000,3,,
2025-06-05,6E,6EM8,2028-06-16,1.206300000,3,,
2025-06-05,6E,6EU8,2028-09-18,1.210550000,3,,
2025-06-05,6E,6EZ8,2028-12-18,1.214700000,3,,
2025-06-05,6E,6EH9,2029-03-19,1.218850000,3,,
2025-06-05,6E,6EM9,2029-06-15,1.222900000,3,,
2025-06-05,6E,6EU9,2029-09-17,1.227150000,3,,
2025-06-05,6E,6EZ9,2029-12-17,1.231300000,3,,
2025-06-05,6E,6EH0,2030-03-18,1.235450000,3,,
2025-06-06,6E,6EU6,2026-09-14,1.172000000,3,93,0
2025-06-06,6E,6EZ6,2026-12-14,1.177100000,3,,
2025-06-06,6E,6EH7,2027-03-15,1.182250000,3,,
2025-06-06,6E,6EM7,2027-06-14,1.187300000,3,,
2025-06-06,6E,6EU7,2027-09-13,1.191800000,3,,
2025-06-06,6E,6EZ7,2027-12-13,1.196250000,3,1,0
2025-06-06,6E,6EH8,2028-03-13,1.200700000,3,,
2025-06-06,6E,6EM8,2028-06-16,1.205350000,3,,
2025-06-06,6E,6EU8,2028-09-18,1.209950000,3,,
2025-06-06,6E,6EZ8,2028-12-18,1.214400000,3,,
2025-06-06,6E,6EH9,2029-03-19,1.218850000,3,,
2025-06-06,6E,6EM9,2029-06-15,1.223150000,3,,
2025-06-06,6E,6EU9,2029-09-17,1.227750000,3,,
2025-06-06,6E,6EZ9,2029-12-17,1.232200000,3,,
2025-06-06,6E,6EH0,2030-03-18,1.236700000,3,,
2025-06-09,6E,6EU6,2026-09-14,1.174950000,3,93,0
2025-06-09,6E,6EZ6,2026-12-14,1.180000000,3,,
2025-06-09,6E,6EH7,2027-03-15,1.185050000,3,,
2025-06-09,6E,6EM7,2027-06-14,1.190100000,3,,
2025-06-09,6E,6EU7,2027-09-13,1.194500000,3,,
2025-06-09,6E,6EZ7,2027-12-13,1.198850000,3,1,0
2025-06-09,6E,6EH8,2028-03-13,1.203250000,3,,
2025-06-09,6E,6EM8,2028-06-16,1.207850000,3,,
2025-06-09,6E,6EU8,2028-09-18,1.212400000,3,,
2025-06-09,6E,6EZ8,2028-12-18,1.216800000,3,,
2025-06-09,6E,6EH9,2029-03-19,1.221200000,3,,
2025-06-09,6E,6EM9,2029-06-15,1.225450000,3,,
2025-06-09,6E,6EU9,2029-09-17,1.230000000,3,,
2025-06-09,6E,6EZ9,2029-12-17,1.234400000,3,,
2025-06-09,6E,6EH0,2030-03-18,1.238750000,3,,
2025-06-10,6E,6EU6,2026-09-14,1.174300000,3,93,0
2025-06-10,6E,6EZ6,2026-12-14,1.179400000,3,,
2025-06-10,6E,6EH7,2027-03-15,1.184550000,3,,
2025-06-10,6E,6EM7,2027-06-14,1.189650000,3,,
2025-06-10,6E,6EU7,2027-09-13,1.194100000,3,,
2025-06-10,6E,6EZ7,2027-12-13,1.198600000,3,1,0
2025-06-10,6E,6EH8,2028-03-13,1.203050000,3,,
2025-06-10,6E,6EM8,2028-06-16,1.207700000,3,,
2025-06-10,6E,6EU8,2028-09-18,1.212350000,3,,
2025-06-10,6E,6EZ8,2028-12-18,1.216800000,3,,
2025-06-10,6E,6EH9,2029-03-19,1.221250000,3,,
2025-06-10,6E,6EM9,2029-06-15,1.225600000,3,,
2025-06-10,6E,6EU9,2029-09-17,1.230200000,3,,
2025-06-10,6E,6EZ9,2029-12-17,1.234650000,3,,
2025-06-10,6E,6EH0,2030-03-18,1.239150000,3,,
2025-06-11,6E,6EU6,2026-09-14,1.180650000,3,90,13
2025-06-11,6E,6EZ6,2026-12-14,1.185700000,3,,
2025-06-11,6E,6EH7,2027-03-15,1.190700000,3,,
2025-06-11,6E,6EM7,2027-06-14,1.195750000,3,,
2025-06-11,6E,6EU7,2027-09-13,1.200100000,3,,
2025-06-11,6E,6EZ7,2027-12-13,1.204500000,3,1,0
2025-06-11,6E,6EH8,2028-03-13,1.208850000,3,,
2025-06-11,6E,6EM8,2028-06-16,1.213450000,3,,
2025-06-11,6E,6EU8,2028-09-18,1.217950000,3,,
2025-06-11,6E,6EZ8,2028-12-18,1.222350000,3,,
2025-06-11,6E,6EH9,2029-03-19,1.226700000,3,,
2025-06-11,6E,6EM9,2029-06-15,1.230950000,3,,
2025-06-11,6E,6EU9,2029-09-17,1.235450000,3,,
2025-06-11,6E,6EZ9,2029-12-17,1.239850000,3,,
2025-06-11,6E,6EH0,2030-03-18,1.244200000,3,,
2025-06-12,6E,6EU6,2026-09-14,1.189350000,3,98,11
2025-06-12,6E,6EZ6,2026-12-14,1.194350000,3,,
2025-06-12,6E,6EH7,2027-03-15,1.199300000,3,,
2025-06-12,6E,6EM7,2027-06-14,1.204250000,3,,
2025-06-12,6E,6EU7,2027-09-13,1.208650000,3,,
2025-06-12,6E,6EZ7,2027-12-13,1.213050000,3,1,0
2025-06-12,6E,6EH8,2028-03-13,1.217400000,3,,
2025-06-12,6E,6EM8,2028-06-16,1.222000000,3,,
2025-06-12,6E,6EU8,2028-09-18,1.226500000,3,,
2025-06-12,6E,6EZ8,2028-12-18,1.230850000,3,,
2025-06-12,6E,6EH9,2029-03-19,1.235250000,3,,
2025-06-12,6E,6EM9,2029-06-15,1.239500000,3,,
2025-06-12,6E,6EU9,2029-09-17,1.244000000,3,,
2025-06-12,6E,6EZ9,2029-12-17,1.248400000,3,,
2025-06-12,6E,6EH0,2030-03-18,1.252750000,3,,
2025-06-13,6E,6EU6,2026-09-14,1.186000000,3,98,0
2025-06-13,6E,6EZ6,2026-12-14,1.191000000,3,,
2025-06-13,6E,6EH7,2027-03-15,1.196050000,3,,
2025-06-13,6E,6EM7,2027-06-14,1.201050000,3,,
2025-06-13,6E,6EU7,2027-09-13,1.205450000,3,,
2025-06-13,6E,6EZ7,2027-12-13,1.209900000,3,1,0
2025-06-13,6E,6EH8,2028-03-13,1.214300000,3,,
2025-06-13,6E,6EM8,2028-06-16,1.218900000,3,,
2025-06-13,6E,6EU8,2028-09-18,1.223450000,3,,
2025-06-13,6E,6EZ8,2028-12-18,1.227850000,3,,
2025-06-13,6E,6EH9,2029-03-19,1.232250000,3,,
2025-06-13,6E,6EM9,2029-06-15,1.236550000,3,,
2025-06-13,6E,6EU9,2029-09-17,1.241100000,3,,
2025-06-13,6E,6EZ9,2029-12-17,1.245500000,3,,
2025-06-13,6E,6EH0,2030-03-18,1.249900000,3,,
2025-06-16,6E,6EU6,2026-09-14,1.190150000,3,98,0
2025-06-16,6E,6EZ6,2026-12-14,1.195150000,3,,
2025-06-16,6E,6EH7,2027-03-15,1.200200000,3,,
2025-06-16,6E,6EM7,2027-06-14,1.205200000,3,,
