file,inherit_from_file,justification
US_BILL_3M.csv,SOFR.csv,"tipo corto USD: mismo rango y salto máximo que SOFR (-1..10, 0.35)"
US_BILL_6M.csv,SOFR.csv,tipo corto USD
US_BILL_1Y.csv,CAD_NOM_2Y.csv,"tramo 1-2Y: rango -1..15, salto 1.0 (fila registrada CAD_NOM_2Y, mismo instrumento)"
US_BILL_2Y.csv,CAD_NOM_2Y.csv,tramo 2Y
EUR_BILL_3M.csv,ESTR.csv,tipo corto EUR
EUR_BILL_6M.csv,ESTR.csv,tipo corto EUR
EUR_BILL_1Y.csv,CAD_NOM_2Y.csv,tramo 1-2Y
EUR_BILL_2Y.csv,CAD_NOM_2Y.csv,tramo 2Y
EUR_BILL_5Y.csv,EUR_BILL_10Y.csv,"curva AAA del BCE: fila EUR_NOM_ECB (-2..8, 0.5)"
GBP_BILL_6M.csv,SONIA.csv,tipo corto GBP
GBP_BILL_1Y.csv,CAD_NOM_2Y.csv,tramo 1-2Y
GBP_BILL_2Y.csv,CAD_NOM_2Y.csv,tramo 2Y
GBP_BILL_5Y.csv,EUR_BILL_10Y.csv,"bono soberano 5-10Y (-2..8, 0.5)"
GBP_BILL_10Y.csv,EUR_BILL_10Y.csv,bono soberano 10Y
JPY_BILL_1Y.csv,TONA.csv,tipo corto JPY
JPY_BILL_2Y.csv,CAD_NOM_2Y.csv,tramo 2Y
JPY_BILL_3Y.csv,CAD_NOM_2Y.csv,tramo 2-3Y
JPY_BILL_5Y.csv,EUR_BILL_10Y.csv,bono soberano 5Y
JPY_BILL_10Y.csv,EUR_BILL_10Y.csv,bono soberano 10Y
JPY_BILL_20Y.csv,EUR_BILL_10Y.csv,bono soberano largo
CAD_BILL_3M.csv,CORRA.csv,tipo corto CAD
CAD_BILL_6M.csv,CORRA.csv,tipo corto CAD
CAD_BILL_1Y.csv,CAD_NOM_2Y.csv,tramo 1Y
AUD_BILL_1M.csv,AONIA.csv,tipo corto AUD
AUD_BILL_3M.csv,AONIA.csv,tipo corto AUD
AUD_BILL_6M.csv,AONIA.csv,tipo corto AUD
