rule_id,feeds,files,row_class,family,calendar,timezone,frequency,pub_local,pub_offset_bd,pub_basis,query_groups,revision_window_obs,revision_basis,status,notes
SOFR,SOFR,SOFR.csv,feed,FRED-SOFR,US_REPO,America/New_York,daily,08:00,1,OFICIAL_GENERAL (NY Fed publica SOFR ~08:00 ET el día hábil siguiente),EU|US|FINAL,,SIN_DATOS: toda revisión a confirmación,OFICIAL_GENERAL,Fuente leída: FRED (fredgraph). La disponibilidad en FRED no está documentada: se medirá con first_seen.
ESTR,ESTR,ESTR.csv,feed,ECB-ESTR,TARGET,Europe/Berlin,daily,08:00,1,OFICIAL_GENERAL (BCE publica €STR a las 08:00 CET),EU|FINAL,,SIN_DATOS: toda revisión a confirmación,OFICIAL_GENERAL,
SONIA,SONIA,SONIA.csv,feed,BOE-SONIA,GB,Europe/London,daily,09:00,1,OFICIAL_GENERAL de la web del BoE; el endpoint IADB NO está documentado,EU|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,"En 14/14 commits el repo tenía T−2. Causa NO demostrada (IADB o parámetro de fecha del script). La regla usa la publicación del proveedor, NO el retraso observado: aparecerá OVERDUE hasta resolver la causa (decisión D-B)."
TONA,TONA,TONA.csv,feed,BOJ-TONA,JP,Asia/Tokyo,daily,08:50,2,OFICIAL_GENERAL del endpoint (manual de la API: datos disponibles ~08:50 JST); tasa final del BoJ T+1 10:00 JST en su web,ASIA|MAC|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,"Hora general de la base, no comprobada para cada observación. Brecha frente al titular del proveedor (T+1 10:00 JST) = 1 día hábil JP; decisión separada si se quiere cerrar."
CORRA,CORRA,CORRA.csv,feed,BOC-CORRA,CA,America/Toronto,daily,09:00,1,A_VERIFICAR (hora habitual de CORRA; sin documento consultado),US|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
AONIA,AONIA,AONIA.csv,feed,RBA-F1,AU,Australia/Sydney,daily,09:53,1,"INDICATIVO_REPO (cota superior: presente en la pasada de 23:53Z, ausente en la de 20:58Z; la hora del commit no prueba la accesibilidad)",ASIA|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
FLOORS,FLOOR_USD;FLOOR_EUR;FLOOR_CAD,FLOOR_USD.csv;FLOOR_EUR.csv;FLOOR_CAD.csv,feed,FLOORS,US|TARGET|CA,UTC,event+daily,,1,EVENTO: tipo administrado con fecha efectiva; serie diaria,US|FINAL|LATE,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,FLOOR_CAD se quedó en el 08-sep del 10 al 13-sep: con esta regla habría salido OVERDUE esos días.
BIS_POLICY,GB_POLICY;JP_POLICY;CH_POLICY;AU_POLICY;NZD_OCR,GB_POLICY.csv;JP_POLICY.csv;CH_POLICY.csv;AU_POLICY.csv;NZD_OCR.csv,feed,BIS-CBPOL,,UTC,event,,,"EVENTO: tras cada decisión (calendario oficial de reuniones, fichero PENDIENTE) debe existir una observación ≥ fecha efectiva",US|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,Calendario de reuniones de cada banco central: fichero de referencia pendiente (F3). Retraso de la BIS medido 7–10 d.h.: no se convierte en plazo aceptable.
US_BILLS,,US_BILL_3M.csv;US_BILL_6M.csv;US_BILL_1Y.csv;US_BILL_2Y.csv,input,FRED-DGS,US,America/New_York,daily,,1,DESCONOCIDA (FRED); repo T−1 en la pasada final 14/14,LATE|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
EUR_CURVE,EUR_NOM_ECB,EUR_BILL_3M.csv;EUR_BILL_6M.csv;EUR_BILL_1Y.csv;EUR_BILL_2Y.csv;EUR_BILL_5Y.csv;EUR_BILL_10Y.csv,feed+input,ECB-YC,TARGET,Europe/Berlin,daily,12:00,1,OFICIAL_GENERAL (curvas del BCE ~12:00 CET del día siguiente) — a verificar,EU|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
GBP_CURVE,,GBP_BILL_6M.csv;GBP_BILL_1Y.csv;GBP_BILL_2Y.csv;GBP_BILL_5Y.csv;GBP_BILL_10Y.csv,input,BOE-YC,GB,Europe/London,daily,,1,DESCONOCIDA; repo T−1 14/14,EU|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
JPY_CURVE,,JPY_BILL_1Y.csv;JPY_BILL_2Y.csv;JPY_BILL_3Y.csv;JPY_BILL_5Y.csv;JPY_BILL_10Y.csv;JPY_BILL_20Y.csv,input,MOF-JGB,JP,Asia/Tokyo,daily,,1,DESCONOCIDA; repo T−1 en 13/14 pasadas finales (1 vez T−2: NO se amplía el plazo por ello),ASIA|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
CAD_CURVE,CAD_NOM_2Y,CAD_BILL_3M.csv;CAD_BILL_6M.csv;CAD_BILL_1Y.csv;CAD_NOM_2Y.csv,feed+input,BOC-VALET,CA,America/Toronto,daily,,1,DESCONOCIDA; repo T−1 14/14,US|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
AUD_F1,,AUD_BILL_1M.csv;AUD_BILL_3M.csv;AUD_BILL_6M.csv,input,RBA-F1,AU,Australia/Sydney,daily,09:53,1,INDICATIVO_REPO (como AONIA),ASIA|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
AUD_F2,AUD_RY;AUD_NOM_2Y,RY_G8_AUD.csv;AUD_NOM_2Y.csv,feed,RBA-F2,AU,Australia/Sydney,weekly:FRI,14:00,0,"MEDIDO_UNA_VEZ (Last-Modified vie 18-sep 03:57Z, datos hasta el miércoles)",FINAL|LATE,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,"Observación esperada tras la publicación del viernes: el miércoles de esa semana. 3 semanas de patrón en el repo. LATE (23:17Z) = segunda oportunidad el mismo viernes (real_yields_g8 + acm_g8 AUD en la pasada LATE, F5)."
USD_RY,USD_RY,RY_G8_USD.csv,feed,FRED-RY,US,America/New_York,daily,,1,DESCONOCIDA; repo T−1 14/14,LATE|FINAL,,SIN_DATOS: toda revisión a confirmación,PROVISIONAL,
