file,max_future_days,basis,note
SOFR.csv,1,PROVISIONAL,Fijación diaria observada; la fecha es el día hábil de la operación (nunca futura). 1 día natural de holgura por huso horario del ejecutor.
ESTR.csv,1,PROVISIONAL,Idem: fijación diaria publicada T+1 hábil con fecha de la operación.
SONIA.csv,1,PROVISIONAL,Idem.
TONA.csv,1,PROVISIONAL,Idem (Japón va por delante de UTC: holgura de 1 día).
CORRA.csv,1,PROVISIONAL,Idem.
AONIA.csv,1,PROVISIONAL,Idem.
NZD_BILL_30D.csv,1,PROVISIONAL,Tabla B2 RBNZ: cierre diario observado (Nueva Zelanda va por delante de UTC).
NZD_BILL_60D.csv,1,PROVISIONAL,Idem.
NZD_BILL_90D.csv,1,PROVISIONAL,Idem.
NZD_BOND_1Y.csv,1,PROVISIONAL,Idem.
NZD_BOND_2Y.csv,1,PROVISIONAL,Idem.
NZD_BOND_5Y.csv,1,PROVISIONAL,Idem.
NZD_BOND_10Y.csv,1,PROVISIONAL,Idem.
NZD_CASH_ON.csv,1,PROVISIONAL,Idem.
CHF_NOM_10Y.csv,1,PROVISIONAL,Rendimiento diario observado SNB.
CHF_SARON.csv,1,PROVISIONAL,Fijación diaria observada.
GB_POLICY.csv,,SIN_LIMITE_DOCUMENTADO,Tipo oficial: la fuente podría fechar un cambio anunciado con su fecha efectiva futura. No se impone horizonte hasta medirlo.
JP_POLICY.csv,,SIN_LIMITE_DOCUMENTADO,Idem.
CH_POLICY.csv,,SIN_LIMITE_DOCUMENTADO,Idem.
AU_POLICY.csv,,SIN_LIMITE_DOCUMENTADO,Idem.
NZD_OCR.csv,,SIN_LIMITE_DOCUMENTADO,Idem.
NZD_IIB_*.csv,1,PROVISIONAL,Bonos indexados RBNZ B2: cierre diario observado.
CHF_SPOT_*.csv,1,PROVISIONAL,Curva spot SNB: fecha de observación (mensual o diaria rss) nunca futura.
